Disease,Symptoms,Medications
Peptic Ulcer Disease,"Burning stomach pain, bloating, nausea","Antibiotics (doxycycline, metronidazole), sucralfate, antacids"
Liver Disease,"Jaundice, swelling, fatigue, abdominal pain","Antivirals, diuretics, medications for portal hypertension"
Ménière’s Disease,"Vertigo, hearing loss, tinnitus","Diuretics, betahistine, diazepam"
Infectious Disease,"Fever, cough, fatigue, muscle aches","Antibiotics for bacterial infections, antivirals (Tamiflu)"
Coronary Artery Disease,"Chest pain, shortness of breath, fatigue","Blood pressure meds, nitroglycerin, cholesterol-lowering drugs"
Hypertension,"Headache, dizziness, fatigue","ACE inhibitors, beta blockers, diuretics"
Diabetes,"Frequent urination, fatigue, blurry vision","Insulin, metformin, SGLT2 inhibitors"
Asthma,"Shortness of breath, wheezing, coughing","Inhalers (albuterol), corticosteroids"
Chronic Obstructive Pulmonary Disease (COPD),"Chronic cough, shortness of breath","Bronchodilators, inhaled steroids"
Tuberculosis,"Cough, fever, weight loss","Antibiotics (isoniazid, rifampicin), pyridoxine"
Pneumonia,"Cough, fever, chest pain","Antibiotics (azithromycin, amoxicillin)"
Chronic Kidney Disease,"Fatigue, swelling in legs, nausea","ACE inhibitors, ARBs, diuretics"
Parkinson's Disease,"Tremors, stiffness, balance issues","Levodopa, dopamine agonists"
Alzheimer's Disease,"Memory loss, confusion, difficulty speaking","Cholinesterase inhibitors, memantine"
Epilepsy,"Seizures, confusion, fatigue","Anticonvulsants, benzodiazepines"
Osteoarthritis,"Joint pain, stiffness, limited range of motion","NSAIDs, acetaminophen, physical therapy"
Rheumatoid Arthritis,"Joint pain, swelling, stiffness","DMARDs (methotrexate), corticosteroids"
Gout,"Intense joint pain, swelling, redness","NSAIDs, colchicine, allopurinol"
Migraine,"Headache, nausea, sensitivity to light","Triptans, NSAIDs, antiemetics"
Anemia,"Fatigue, weakness, pale skin","Iron supplements, vitamin B12"
Influenza,"Fever, chills, body aches","Antivirals (oseltamivir), pain relievers"
Malaria,"Fever, chills, sweating","Antimalarials (chloroquine, artemether)"
Lyme Disease,"Fever, rash, joint pain","Doxycycline, amoxicillin"
HIV/AIDS,"Fever, weight loss, chronic fatigue",Antiretroviral therapy (ART)
Psoriasis,"Red, scaly patches of skin, itching","Topical corticosteroids, biologics"
Eczema,"Itchy, inflamed skin, rashes","Topical corticosteroids, moisturizers"
Celiac Disease,"Abdominal pain, diarrhea, bloating",Gluten-free diet
Irritable Bowel Syndrome,"Abdominal pain, bloating, constipation","Antispasmodics, laxatives"
Crohn's Disease,"Diarrhea, weight loss, fatigue","Corticosteroids, immunosuppressants"
Ulcerative Colitis,"Abdominal pain, diarrhea, bloody stool","Aminosalicylates, corticosteroids"
Hepatitis B,"Abdominal pain, diarrhea, rectal bleeding","Antivirals, immune modulators"
Hepatitis C,"Fatigue, jaundice, abdominal pain","Antivirals, interferon"
Hyperthyroidism,"Fatigue, jaundice, abdominal swelling","Beta blockers, anti-thyroid drugs"
Hypothyroidism,"Weight loss, palpitations, sweating",Levothyroxine
Multiple Sclerosis,"Fatigue, weight gain, dry skin","Immunomodulators, corticosteroids"
